,down,yard,position,percent_run,aggression,epa
0,1.0,2.0,10.0,0.25,0.0,0.28
1,1.0,2.0,10.0,0.25,1.0,0.55
2,1.0,2.0,10.0,0.25,2.0,-0.14
3,1.0,2.0,10.0,0.5,0.0,0.42
4,1.0,2.0,10.0,0.5,1.0,0.49
5,1.0,2.0,10.0,0.5,2.0,0.66
6,1.0,2.0,10.0,0.75,0.0,0.45
7,1.0,2.0,10.0,0.75,1.0,-0.03
8,1.0,2.0,10.0,0.75,2.0,1.12
9,1.0,2.0,20.0,0.25,0.0,0.55
10,1.0,2.0,20.0,0.25,1.0,1.62
11,1.0,2.0,20.0,0.25,2.0,1.75
12,1.0,2.0,20.0,0.5,0.0,1.18
13,1.0,2.0,20.0,0.5,1.0,1.03
14,1.0,2.0,20.0,0.5,2.0,0.7
15,1.0,2.0,20.0,0.75,0.0,0.73
16,1.0,2.0,20.0,0.75,1.0,0.76
17,1.0,2.0,20.0,0.75,2.0,1.03
18,1.0,2.0,30.0,0.25,0.0,1.65
19,1.0,2.0,30.0,0.25,1.0,1.35
20,1.0,2.0,30.0,0.25,2.0,1.91
21,1.0,2.0,30.0,0.5,0.0,2.36
22,1.0,2.0,30.0,0.5,1.0,1.28
23,1.0,2.0,30.0,0.5,2.0,1.68
24,1.0,2.0,30.0,0.75,0.0,1.38
25,1.0,2.0,30.0,0.75,1.0,1.99
26,1.0,2.0,30.0,0.75,2.0,1.3
27,1.0,2.0,40.0,0.25,0.0,2.26
28,1.0,2.0,40.0,0.25,1.0,1.26
29,1.0,2.0,40.0,0.25,2.0,1.44
30,1.0,2.0,40.0,0.5,0.0,2.44
31,1.0,2.0,40.0,0.5,1.0,3.43
32,1.0,2.0,40.0,0.5,2.0,0.88
33,1.0,2.0,40.0,0.75,0.0,3.01
34,1.0,2.0,40.0,0.75,1.0,2.54
35,1.0,2.0,40.0,0.75,2.0,2.33
36,1.0,2.0,50.0,0.25,0.0,3.18
37,1.0,2.0,50.0,0.25,1.0,2.25
38,1.0,2.0,50.0,0.25,2.0,2.89
39,1.0,2.0,50.0,0.5,0.0,3.44
40,1.0,2.0,50.0,0.5,1.0,3.83
41,1.0,2.0,50.0,0.5,2.0,2.01
42,1.0,2.0,50.0,0.75,0.0,2.76
43,1.0,2.0,50.0,0.75,1.0,3.28
44,1.0,2.0,50.0,0.75,2.0,3.22
45,1.0,2.0,60.0,0.25,0.0,4.02
46,1.0,2.0,60.0,0.25,1.0,4.91
47,1.0,2.0,60.0,0.25,2.0,3.86
48,1.0,2.0,60.0,0.5,0.0,4.56
49,1.0,2.0,60.0,0.5,1.0,3.16
50,1.0,2.0,60.0,0.5,2.0,3.63
51,1.0,2.0,60.0,0.75,0.0,3.47
52,1.0,2.0,60.0,0.75,1.0,3.51
53,1.0,2.0,60.0,0.75,2.0,3.03
54,1.0,2.0,70.0,0.25,0.0,3.68
55,1.0,2.0,70.0,0.25,1.0,4.72
56,1.0,2.0,70.0,0.25,2.0,3.5
57,1.0,2.0,70.0,0.5,0.0,5.29
58,1.0,2.0,70.0,0.5,1.0,4.76
59,1.0,2.0,70.0,0.5,2.0,4.2
60,1.0,2.0,70.0,0.75,0.0,4.51
61,1.0,2.0,70.0,0.75,1.0,4.39
